r_km,z_m,J_amp,J_coh
46.25,152.5,0.11010884679869082,0.9492115770189236
46.5,152.5,0.10380753785934693,0.970552229119179
46.75,152.5,0.09747215125382702,0.9095963516460294
47.0,152.5,0.0911650463919278,0.9484285597477193
47.25,152.5,0.08495140593753714,0.512779141105232
47.5,152.5,0.07888076867970018,0.9006428160669133
47.75,152.5,0.07298037969060156,0.9168787005731998
48.0,152.5,0.06725908588317808,0.5465538016114566
48.25,152.5,0.06171949305291036,0.9537970572082525
48.5,152.5,0.056373626003878186,0.9190039396314943
48.75,152.5,0.051251676222904385,0.8634835790689224
49.0,152.5,0.04639652631339508,0.9202835207141994
49.25,152.5,0.04184992424001954,0.9462228541235094
49.5,152.5,0.037641413237393895,0.8694827825350533
49.75,152.5,0.033784738598477304,0.927749594938014
50.0,152.5,0.0302809336934714,0.0615006273325992
50.25,152.5,0.02712613524708618,0.9454624755683472
50.5,152.5,0.02432074952671559,0.8947312530890601
50.75,152.5,0.021874369702381102,0.9068158919981293
51.0,152.5,0.01980317509512941,0.9057921180851825
51.25,152.5,0.018123011127336386,0.82246513566507
51.5,152.5,0.016843662036594154,0.8449733510147359
51.75,152.5,0.0159667724821978,0.9499364725636582
52.0,152.5,0.015487113607616898,0.5934916821293665
52.25,152.5,0.015396103808192119,0.911053046683903
52.5,152.5,0.01568583619731967,0.890350460546473
52.75,152.5,0.016351176498351272,0.543807761850643
53.0,152.5,0.01738869841659174,0.9078581519808836
53.25,152.5,0.018793826350423037,0.8620539046895437
53.5,152.5,0.020558454506975132,0.8202027907340032
53.75,152.5,0.02267020393630126,0.954624024468742
54.0,152.5,0.025113421781394862,0.7698181047751078
54.25,152.5,0.02787149236599895,0.8621155051026255
54.5,152.5,0.030929278676172012,0.8980182168393215
54.75,152.5,0.03427395705050973,0.3155323092716745
55.0,152.5,0.03789349940952025,0.9233048824881159
55.25,152.5,0.04177398346819228,0.9384222139450806
55.5,152.5,0.04589757572053943,0.8522476690568382
55.75,152.5,0.05024228936490405,0.9301022361775604
56.0,152.5,0.054783800378195635,0.7195518329215875
56.25,152.5,0.05949883867500294,0.8048906709359891
56.5,152.5,0.06436846670791663,0.9163157765293728
56.75,152.5,0.06937889420355625,0.9166998751460909
57.0,152.5,0.07451899455839528,0.9331454925523212
57.25,152.5,0.07977626589146336,0.9551644224734023
57.5,152.5,0.08513380056948205,0.790798694778445
57.75,152.5,0.0905697820106024,0.9021968274928446
58.0,152.5,0.09605979469115089,0.8459605616340676
58.25,152.5,0.10158110177237523,0.7438994691069329
58.5,152.5,0.10711664129413312,0.9383396277868858
58.75,152.5,0.11265599649671965,0.8414244479205103
59.0,152.5,0.11819254175163285,0.9013659061310904
